GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEOID,BTTRA,BTBGA,NAME_E,QSPE001,NAME_M,QSPM001
"G44000700120002","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012000","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070120002",,,"Block Group 2, Census Tract 120, Providence County, Rhode Island",1649,"Block Group 2, Census Tract 120, Providence County, Rhode Island",370
"G44000700120003","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012000","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070120003",,,"Block Group 3, Census Tract 120, Providence County, Rhode Island",971,"Block Group 3, Census Tract 120, Providence County, Rhode Island",174
"G44000700120004","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012000","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070120004",,,"Block Group 4, Census Tract 120, Providence County, Rhode Island",968,"Block Group 4, Census Tract 120, Providence County, Rhode Island",242
"G44000700120005","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012000","5",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070120005",,,"Block Group 5, Census Tract 120, Providence County, Rhode Island",1552,"Block Group 5, Census Tract 120, Providence County, Rhode Island",411
"G44000700121021","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012102","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121021",,,"Block Group 1, Census Tract 121.02, Providence County, Rhode Island",1453,"Block Group 1, Census Tract 121.02, Providence County, Rhode Island",397
"G44000700121022","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012102","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121022",,,"Block Group 2, Census Tract 121.02, Providence County, Rhode Island",1025,"Block Group 2, Census Tract 121.02, Providence County, Rhode Island",227
"G44000700121023","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012102","3",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121023",,,"Block Group 3, Census Tract 121.02, Providence County, Rhode Island",951,"Block Group 3, Census Tract 121.02, Providence County, Rhode Island",301
"G44000700121024","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012102","4",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121024",,,"Block Group 4, Census Tract 121.02, Providence County, Rhode Island",664,"Block Group 4, Census Tract 121.02, Providence County, Rhode Island",212
"G44000700121031","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012103","1",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121031",,,"Block Group 1, Census Tract 121.03, Providence County, Rhode Island",2285,"Block Group 1, Census Tract 121.03, Providence County, Rhode Island",408
"G44000700121032","2008-2012","RI",,,"Rhode Island","44","Providence County","007",,,"012103","2",,,,,,,,,,,,,,,,,,,,,,,,,"15000US440070121032",,,"Block Group 2, Census Tract 121.03, Providence County, Rhode Island",763,"Block Group 2, Census Tract 121.03, Providence County, Rhode Island",239
